Customer ID,CY Customers,CY Orders,Order Date,Order ID,Postal Code,Product ID,PY Customers,PY Orders,Row ID,Segment,Ship Date,Ship Mode,CY Profit,CY Quantity,CY Sales,Discount,Order Date (Year),Profit,PY Profit,PY Quantity,PY Sales,Quantity,Sales
KB-16585,,,9/12/2022,CA-2022-137330,68025,OFF-AP-10001492,KB-16585,CA-2022-137330,23,Corporate,13/12/2022,Standard Class,,,,0,2022,15.6884,$0K,$7,$0K,7,60.34
SF-20065,SF-20065,US-2023-156909,16/7/2023,US-2023-156909,19140,FUR-CH-10002774,,,24,Consumer,18/7/2023,Second Class,$0K,$2,$0K,0.3,2023,-1.0196,,,,2,71.372
EB-13870,,,25/9/2021,CA-2021-106320,84057,FUR-TA-10000577,,,25,Consumer,30/9/2021,Standard Class,,,,0,2021,240.2649,,,,3,1044.63
EH-13945,,,16/1/2022,CA-2022-121755,90049,OFF-BI-10001634,EH-13945,CA-2022-121755,26,Consumer,20/1/2022,Second Class,,,,0.2,2022,4.2224,$0K,$2,$0K,2,11.648
EH-13945,,,16/1/2022,CA-2022-121755,90049,TEC-AC-10003027,EH-13945,CA-2022-121755,27,Consumer,20/1/2022,Second Class,,,,0,2022,11.7741,$0K,$3,$0K,3,90.57
TB-21520,,,17/9/2021,US-2021-150630,19140,FUR-BO-10004834,,,28,Consumer,21/9/2021,Standard Class,,,,0.5,2021,-1665.0522,,,,7,3083.43
TB-21520,,,17/9/2021,US-2021-150630,19140,OFF-BI-10000474,,,29,Consumer,21/9/2021,Standard Class,,,,0.7,2021,-7.0532,,,,2,9.618
TB-21520,,,17/9/2021,US-2021-150630,19140,FUR-FU-10004848,,,30,Consumer,21/9/2021,Standard Class,,,,0.2,2021,15.525,,,,3,124.2
TB-21520,,,17/9/2021,US-2021-150630,19140,OFF-EN-10001509,,,31,Consumer,21/9/2021,Standard Class,,,,0.2,2021,1.1016,,,,2,3.264
TB-21520,,,17/9/2021,US-2021-150630,19140,OFF-AR-10004042,,,32,Consumer,21/9/2021,Standard Class,,,,0.2,2021,9.7092,,,,6,86.304
TB-21520,,,17/9/2021,US-2021-150630,19140,OFF-BI-10001525,,,33,Consumer,21/9/2021,Standard Class,,,,0.7,2021,-5.715,,,,6,6.858
TB-21520,,,17/9/2021,US-2021-150630,19140,OFF-AR-10001683,,,34,Consumer,21/9/2021,Standard Class,,,,0.2,2021,3.546,,,,2,15.76
MA-17560,MA-17560,CA-2023-107727,19/10/2023,CA-2023-107727,77095,OFF-PA-10000249,,,35,Home Office,23/10/2023,Second Class,$0K,$3,$0K,0.2,2023,9.9468,,,,3,29.472
GH-14485,,,8/12/2022,CA-2022-117590,75080,TEC-PH-10004977,GH-14485,CA-2022-117590,36,Corporate,10/12/2022,First Class,,,,0.2,2022,123.4737,$0K,$7,$1K,7,1097.544
GH-14485,,,8/12/2022,CA-2022-117590,75080,FUR-FU-10003664,GH-14485,CA-2022-117590,37,Corporate,10/12/2022,First Class,,,,0.6,2022,-147.963,$0K,$5,$0K,5,190.92
SN-20710,,,27/12/2021,CA-2021-117415,77041,OFF-EN-10002986,,,38,Home Office,31/12/2021,Standard Class,,,,0.2,2021,35.415,,,,9,113.328
SN-20710,,,27/12/2021,CA-2021-117415,77041,FUR-BO-10002545,,,39,Home Office,31/12/2021,Standard Class,,,,0.32,2021,-46.9764,,,,3,532.3992
SN-20710,,,27/12/2021,CA-2021-117415,77041,FUR-CH-10004218,,,40,Home Office,31/12/2021,Standard Class,,,,0.3,2021,-15.147,,,,3,212.058
SN-20710,,,27/12/2021,CA-2021-117415,77041,TEC-PH-10000486,,,41,Home Office,31/12/2021,Standard Class,,,,0.2,2021,41.7564,,,,4,371.168
LC-16930,LC-16930,CA-2023-120999,10/9/2023,CA-2023-120999,60540,TEC-PH-10004093,,,42,Corporate,15/9/2023,Standard Class,$0K,$4,$0K,0.2,2023,16.5564,,,,4,147.168
RA-19885,,,17/7/2022,CA-2022-101343,90049,OFF-ST-10003479,RA-19885,CA-2022-101343,43,Corporate,22/7/2022,Standard Class,,,,0,2022,3.894,$0K,$2,$0K,2,77.88
ES-14080,ES-14080,CA-2023-139619,19/9/2023,CA-2023-139619,32935,OFF-ST-10003282,,,44,Corporate,23/9/2023,Standard Class,$0K,$2,$0K,0.2,2023,9.5616,,,,2,95.616
ON-18715,,,11/3/2022,CA-2022-118255,55122,TEC-AC-10000171,ON-18715,CA-2022-118255,45,Corporate,13/3/2022,First Class,,,,0,2022,19.7714,$0K,$2,$0K,2,45.98
ON-18715,,,11/3/2022,CA-2022-118255,55122,OFF-BI-10003291,ON-18715,CA-2022-118255,46,Corporate,13/3/2022,First Class,,,,0,2022,8.2062,$0K,$2,$0K,2,17.46
PO-18865,,,20/10/2020,CA-2020-146703,48185,OFF-ST-10001713,,,47,Consumer,25/10/2020,Second Class,,,,0,2020,8.4784,,,,4,211.96
LH-16900,,,20/6/2022,CA-2022-169194,19901,TEC-AC-10002167,LH-16900,CA-2022-169194,48,Consumer,25/6/2022,Standard Class,,,,0,2022,4.95,$0K,$3,$0K,3,45
LH-16900,,,20/6/2022,CA-2022-169194,19901,TEC-PH-10003988,LH-16900,CA-2022-169194,49,Consumer,25/6/2022,Standard Class,,,,0,2022,6.104,$0K,$2,$0K,2,21.8
DP-13000,,,18/4/2021,CA-2021-115742,47150,OFF-BI-10004410,,,50,Consumer,22/4/2021,Standard Class,,,,0,2021,17.9634,,,,6,38.22
DP-13000,,,18/4/2021,CA-2021-115742,47150,OFF-LA-10002762,,,51,Consumer,22/4/2021,Standard Class,,,,0,2021,35.3346,,,,6,75.18
DP-13000,,,18/4/2021,CA-2021-115742,47150,FUR-FU-10001706,,,52,Consumer,22/4/2021,Standard Class,,,,0,2021,2.9568,,,,2,6.16
DP-13000,,,18/4/2021,CA-2021-115742,47150,FUR-CH-10003061,,,53,Consumer,22/4/2021,Standard Class,,,,0,2021,17.0981,,,,1,89.99
JM-15265,,,11/12/2022,CA-2022-105816,10024,OFF-FA-10000304,JM-15265,CA-2022-105816,54,Corporate,17/12/2022,Standard Class,,,,0,2022,6.2566,$0K,$7,$0K,7,15.26
JM-15265,,,11/12/2022,CA-2022-105816,10024,TEC-PH-10002447,JM-15265,CA-2022-105816,55,Corporate,17/12/2022,Standard Class,,,,0,2022,298.6855,$0K,$5,$1K,5,1029.95
TB-21055,,,17/6/2022,CA-2022-111682,12180,OFF-ST-10000604,TB-21055,CA-2022-111682,56,Consumer,18/6/2022,First Class,,,,0,2022,52.14,$0K,$6,$0K,6,208.56
TB-21055,,,17/6/2022,CA-2022-111682,12180,OFF-PA-10001569,TB-21055,CA-2022-111682,57,Consumer,18/6/2022,First Class,,,,0,2022,15.552,$0K,$5,$0K,5,32.4
TB-21055,,,17/6/2022,CA-2022-111682,12180,FUR-CH-10003968,TB-21055,CA-2022-111682,58,Consumer,18/6/2022,First Class,,,,0.1,2022,7.098,$0K,$5,$0K,5,319.41
TB-21055,,,17/6/2022,CA-2022-111682,12180,OFF-PA-10000587,TB-21055,CA-2022-111682,59,Consumer,18/6/2022,First Class,,,,0,2022,6.9888,$0K,$2,$0K,2,14.56
TB-21055,,,17/6/2022,CA-2022-111682,12180,TEC-AC-10002167,TB-21055,CA-2022-111682,60,Consumer,18/6/2022,First Class,,,,0,2022,3.3,$0K,$2,$0K,2,30
TB-21055,,,17/6/2022,CA-2022-111682,12180,OFF-BI-10001460,TB-21055,CA-2022-111682,61,Consumer,18/6/2022,First Class,,,,0.2,2022,16.362,$0K,$4,$0K,4,48.48
TB-21055,,,17/6/2022,CA-2022-111682,12180,OFF-AR-10001868,TB-21055,CA-2022-111682,62,Consumer,18/6/2022,First Class,,,,0,2022,0.84,$0K,$1,$0K,1,1.68
KM-16720,,,24/11/2021,CA-2021-135545,90004,TEC-AC-10004633,,,63,Consumer,30/11/2021,Standard Class,,,,0,2021,6.1512,,,,2,13.98
KM-16720,,,24/11/2021,CA-2021-135545,90004,OFF-BI-10001078,,,64,Consumer,30/11/2021,Standard Class,,,,0.2,2021,9.3612,,,,6,25.824
KM-16720,,,24/11/2021,CA-2021-135545,90004,OFF-PA-10003892,,,65,Consumer,30/11/2021,Standard Class,,,,0,2021,68.9631,,,,3,146.73
KM-16720,,,24/11/2021,CA-2021-135545,90004,FUR-FU-10000397,,,66,Consumer,30/11/2021,Standard Class,,,,0,2021,22.3328,,,,4,79.76
PS-18970,,,30/4/2021,US-2021-164175,60610,FUR-CH-10001146,,,67,Home Office,5/5/2021,Standard Class,,,,0.3,2021,-15.2225,,,,5,213.115
BS-11590,,,5/12/2020,CA-2020-106376,85234,OFF-AR-10002671,,,68,Corporate,10/12/2020,Standard Class,,,,0.2,2020,111.3024,,,,8,1113.024
BS-11590,,,5/12/2020,CA-2020-106376,85234,TEC-PH-10002726,,,69,Corporate,10/12/2020,Standard Class,,,,0.2,2020,62.988,,,,4,167.968
KD-16270,,,4/6/2022,CA-2022-119823,22153,OFF-PA-10000482,KD-16270,CA-2022-119823,70,Consumer,6/6/2022,First Class,,,,0,2022,35.6636,$0K,$2,$0K,2,75.88
HM-14980,,,18/9/2022,CA-2022-106075,10009,OFF-BI-10004654,HM-14980,CA-2022-106075,71,Consumer,23/9/2022,Standard Class,,,,0.2,2022,1.731,$0K,$1,$0K,1,4.616
TB-21520,TB-21520,CA-2023-114440,14/9/2023,CA-2023-114440,49201,OFF-PA-10004675,,,72,Consumer,17/9/2023,Second Class,$0K,$3,$0K,0,2023,8.763,,,,3,19.05
JE-15745,,,26/4/2021,US-2021-134026,38109,FUR-CH-10000513,,,73,Consumer,2/5/2021,Standard Class,,,,0.2,2021,-114.3912,,,,8,831.936
JE-15745,,,26/4/2021,US-2021-134026,38109,FUR-FU-10003708,,,74,Consumer,2/5/2021,Standard Class,,,,0.2,2021,1.213,,,,2,97.04
JE-15745,,,26/4/2021,US-2021-134026,38109,OFF-ST-10004123,,,75,Consumer,2/5/2021,Standard Class,,,,0.2,2021,-18.196,,,,1,72.784
KB-16600,KB-16600,US-2023-118038,9/12/2023,US-2023-118038,77041,OFF-BI-10004182,,,76,Corporate,11/12/2023,First Class,$0K,$3,$0K,0.8,2023,-1.9344,,,,3,1.248
KB-16600,KB-16600,US-2023-118038,9/12/2023,US-2023-118038,77041,FUR-FU-10000260,,,77,Corporate,11/12/2023,First Class,$0K,$3,$0K,0.6,2023,-5.8248,,,,3,9.708
KB-16600,KB-16600,US-2023-118038,9/12/2023,US-2023-118038,77041,OFF-ST-10000615,,,78,Corporate,11/12/2023,First Class,$0K,$3,$0K,0.2,2023,2.724,,,,3,27.24
JE-15745,,,26/11/2020,US-2020-147606,77070,FUR-FU-10003194,,,79,Consumer,1/12/2020,Second Class,,,,0.6,2020,-14.475,,,,5,19.3
SC-20770,,,12/6/2022,CA-2022-127208,35601,OFF-AP-10002118,SC-20770,CA-2022-127208,80,Corporate,15/6/2022,First Class,,,,0,2022,56.2032,$0K,$1,$0K,1,208.16
SC-20770,,,12/6/2022,CA-2022-127208,35601,OFF-BI-10002309,SC-20770,CA-2022-127208,81,Corporate,15/6/2022,First Class,,,,0,2022,8.0352,$0K,$3,$0K,3,16.74
DN-13690,,,12/10/2020,CA-2020-139451,94122,OFF-AR-10002053,,,82,Consumer,16/10/2020,Standard Class,,,,0,2020,4.172,,,,5,14.9
DN-13690,,,12/10/2020,CA-2020-139451,94122,OFF-ST-10002370,,,83,Consumer,16/10/2020,Standard Class,,,,0,2020,6.2031,,,,1,21.39
JC-16105,,,3/9/2021,CA-2021-149734,27707,OFF-EN-10000927,,,84,Corporate,8/9/2021,Standard Class,,,,0.2,2021,62.8075,,,,7,200.984
CS-12400,CS-12400,US-2023-119662,13/11/2023,US-2023-119662,60623,OFF-ST-10003656,,,85,Home Office,16/11/2023,First Class,$0K,$3,$0K,0.2,2023,-48.9549,,,,3,230.376
PO-18865,PO-18865,CA-2023-140088,28/5/2023,CA-2023-140088,29203,FUR-CH-10000863,,,86,Consumer,30/5/2023,Second Class,$0K,$2,$0K,0,2023,33.2156,,,,2,301.96
PG-18895,PG-18895,CA-2023-155558,26/10/2023,CA-2023-155558,55901,TEC-AC-10001998,,,87,Consumer,2/11/2023,Standard Class,$0K,$1,$0K,0,2023,6.7966,,,,1,19.99
PG-18895,PG-18895,CA-2023-155558,26/10/2023,CA-2023-155558,55901,OFF-LA-10000134,,,88,Consumer,2/11/2023,Standard Class,$0K,$2,$0K,0,2023,2.9568,,,,2,6.16
GM-14455,,,5/4/2022,CA-2022-159695,77095,OFF-ST-10003442,GM-14455,CA-2022-159695,89,Home Office,10/4/2022,Second Class,,,,0.2,2022,13.8572,$0K,$7,$0K,7,158.368
JS-15685,,,17/9/2022,CA-2022-109806,90036,OFF-AR-10004930,JS-15685,CA-2022-109806,90,Corporate,22/9/2022,Standard Class,,,,0,2022,6.633,$0K,$3,$0K,3,20.1
JS-15685,,,17/9/2022,CA-2022-109806,90036,TEC-PH-10004093,JS-15685,CA-2022-109806,91,Corporate,22/9/2022,Standard Class,,,,0.2,2022,8.2782,$0K,$2,$0K,2,73.584
JS-15685,,,17/9/2022,CA-2022-109806,90036,OFF-PA-10000304,JS-15685,CA-2022-109806,92,Corporate,22/9/2022,Standard Class,,,,0,2022,3.1104,$0K,$1,$0K,1,6.48
KB-16315,,,31/1/2021,CA-2021-149587,55407,OFF-PA-10003177,,,93,Consumer,5/2/2021,Second Class,,,,0,2021,6.2208,,,,2,12.96
KB-16315,,,31/1/2021,CA-2021-149587,55407,FUR-FU-10003799,,,94,Consumer,5/2/2021,Second Class,,,,0,2021,16.5354,,,,3,53.34
KB-16315,,,31/1/2021,CA-2021-149587,55407,OFF-BI-10002852,,,95,Consumer,5/2/2021,Second Class,,,,0,2021,16.1504,,,,2,32.96
RB-19705,RB-19705,US-2023-109484,6/11/2023,US-2023-109484,97206,OFF-BI-10004738,,,96,Home Office,12/11/2023,Standard Class,$0K,$1,$0K,0.7,2023,-3.788,,,,1,5.682
PN-18775,PN-18775,CA-2023-161018,9/11/2023,CA-2023-161018,10009,FUR-FU-10000629,,,97,Home Office,11/11/2023,Second Class,$0K,$7,$0K,0,2023,40.5426,,,,7,96.53
KD-16345,KD-16345,CA-2023-157833,17/6/2023,CA-2023-157833,94122,OFF-BI-10001721,,,98,Consumer,20/6/2023,First Class,$0K,$3,$0K,0.2,2023,17.9592,,,,3,51.312
ER-13855,,,6/9/2022,CA-2022-149223,55106,OFF-AP-10000358,ER-13855,CA-2022-149223,99,Corporate,11/9/2022,Standard Class,,,,0,2022,22.5852,$0K,$6,$0K,6,77.88
RB-19465,,,29/8/2022,CA-2022-158568,60610,OFF-PA-10003256,RB-19465,CA-2022-158568,100,Home Office,2/9/2022,Standard Class,,,,0.2,2022,22.6184,$0K,$7,$0K,7,64.624
RB-19465,,,29/8/2022,CA-2022-158568,60610,TEC-AC-10001767,RB-19465,CA-2022-158568,101,Home Office,2/9/2022,Standard Class,,,,0.2,2022,-10.7973,$0K,$3,$0K,3,95.976
RB-19465,,,29/8/2022,CA-2022-158568,60610,OFF-BI-10002609,RB-19465,CA-2022-158568,102,Home Office,2/9/2022,Standard Class,,,,0.8,2022,-3.0396,$0K,$3,$0K,3,1.788
GZ-14470,,,1/12/2022,CA-2022-129903,55901,OFF-PA-10004040,GZ-14470,CA-2022-129903,103,Consumer,4/12/2022,Second Class,,,,0,2022,11.7208,$0K,$4,$0K,4,23.92
LC-16870,,,13/11/2021,US-2021-156867,80013,TEC-AC-10001552,,,104,Consumer,17/11/2021,Standard Class,,,,0.2,2021,-26.8758,,,,6,238.896
LC-16870,,,13/11/2021,US-2021-156867,80013,FUR-FU-10004006,,,105,Consumer,17/11/2021,Standard Class,,,,0.2,2021,-3.8385,,,,3,102.36
LC-16870,,,13/11/2021,US-2021-156867,80013,OFF-BI-10002794,,,106,Consumer,17/11/2021,Standard Class,,,,0.7,2021,-25.8174,,,,3,36.882
JM-15250,JM-15250,CA-2023-119004,23/11/2023,CA-2023-119004,28205,TEC-AC-10003499,,,107,Consumer,28/11/2023,Standard Class,$0K,$8,$0K,0.2,2023,17.6016,,,,8,74.112
JM-15250,JM-15250,CA-2023-119004,23/11/2023,CA-2023-119004,28205,TEC-PH-10002844,,,108,Consumer,28/11/2023,Standard Class,$0K,$1,$0K,0.2,2023,2.0994,,,,1,27.992
JM-15250,JM-15250,CA-2023-119004,23/11/2023,CA-2023-119004,28205,OFF-AR-10000390,,,109,Consumer,28/11/2023,Standard Class,$0K,$1,$0K,0.2,2023,1.0738,,,,1,3.304
PA-19060,,,15/10/2021,CA-2021-129476,60462,TEC-AC-10000844,,,110,Home Office,20/10/2021,Standard Class,,,,0.2,2021,67.992,,,,5,339.96
CV-12805,CV-12805,CA-2023-146780,25/12/2023,CA-2023-146780,10035,FUR-FU-10001934,,,111,Corporate,30/12/2023,Standard Class,$0K,$2,$0K,0,2023,10.9096,,,,2,41.96
CL-12565,,,3/11/2022,CA-2022-128867,50322,OFF-AR-10000380,CL-12565,CA-2022-128867,112,Consumer,10/11/2022,Standard Class,,,,0,2022,22.788,$0K,$2,$0K,2,75.96
CL-12565,,,3/11/2022,CA-2022-128867,50322,OFF-BI-10003981,CL-12565,CA-2022-128867,113,Consumer,10/11/2022,Standard Class,,,,0,2022,13.3476,$0K,$6,$0K,6,27.24
RC-19960,,,25/8/2020,CA-2020-115259,43229,OFF-FA-10000621,,,114,Consumer,27/8/2020,Second Class,,,,0.2,2020,14.5348,,,,14,40.096
RC-19960,,,25/8/2020,CA-2020-115259,43229,OFF-EN-10002600,,,115,Consumer,27/8/2020,Second Class,,,,0.2,2020,1.652,,,,2,4.72
RC-19960,,,25/8/2020,CA-2020-115259,43229,OFF-PA-10004965,,,116,Consumer,27/8/2020,Second Class,,,,0.2,2020,7.4925,,,,3,23.976
RC-19960,,,25/8/2020,CA-2020-115259,43229,OFF-EN-10002504,,,117,Consumer,27/8/2020,Second Class,,,,0.2,2020,44.0316,,,,6,130.464
DK-13090,,,2/3/2021,CA-2021-110457,98103,FUR-TA-10001768,,,118,Consumer,6/3/2021,Standard Class,,,,0,2021,165.3813,,,,3,787.53
GG-14650,,,5/4/2021,US-2021-136476,37620,OFF-BI-10003650,,,119,Corporate,10/4/2021,Standard Class,,,,0.7,2021,-115.7156,,,,1,157.794
SC-20725,,,12/6/2022,CA-2022-103730,19805,FUR-FU-10002157,SC-20725,CA-2022-103730,120,Consumer,15/6/2022,First Class,,,,0,2022,18.3456,$0K,$3,$0K,3,47.04
SC-20725,,,12/6/2022,CA-2022-103730,19805,OFF-BI-10003910,SC-20725,CA-2022-103730,121,Consumer,15/6/2022,First Class,,,,0,2022,13.878,$0K,$4,$0K,4,30.84
SC-20725,,,12/6/2022,CA-2022-103730,19805,OFF-ST-10000777,SC-20725,CA-2022-103730,122,Consumer,15/6/2022,First Class,,,,0,2022,63.4368,$0K,$6,$0K,6,226.56
SC-20725,,,12/6/2022,CA-2022-103730,19805,OFF-EN-10002500,SC-20725,CA-2022-103730,123,Consumer,15/6/2022,First Class,,,,0,2022,51.759,$0K,$9,$0K,9,115.02
SC-20725,,,12/6/2022,CA-2022-103730,19805,TEC-PH-10003875,SC-20725,CA-2022-103730,124,Consumer,15/6/2022,First Class,,,,0,2022,19.7316,$0K,$7,$0K,7,68.04
AD-10180,,,26/12/2020,US-2020-152030,77041,FUR-CH-10004063,,,125,Home Office,28/12/2020,Second Class,,,,0.3,2020,-8.5794,,,,3,600.558
PF-19165,,,20/9/2020,US-2020-134614,61701,FUR-TA-10004534,,,126,Consumer,25/9/2020,Standard Class,,,,0.5,2020,-407.682,,,,6,617.7
TS-21610,TS-21610,US-2023-107272,5/11/2023,US-2023-107272,85023,OFF-BI-10003274,,,127,Consumer,12/11/2023,Standard Class,$0K,$2,$0K,0.7,2023,-1.8308,,,,2,2.388
TS-21610,TS-21610,US-2023-107272,5/11/2023,US-2023-107272,85023,OFF-ST-10002974,,,128,Consumer,12/11/2023,Standard Class,$0K,$7,$0K,0.2,2023,30.499,,,,7,243.992
LS-16975,,,6/11/2022,US-2022-125969,90004,FUR-CH-10001146,LS-16975,US-2022-125969,129,Home Office,10/11/2022,Second Class,,,,0.2,2022,-9.1602,$0K,$2,$0K,2,81.424
LS-16975,,,6/11/2022,US-2022-125969,90004,FUR-FU-10003773,LS-16975,US-2022-125969,130,Home Office,10/11/2022,Second Class,,,,0,2022,26.2416,$0K,$3,$0K,3,238.56
DW-13585,DW-13585,US-2023-164147,2/2/2023,US-2023-164147,43229,TEC-PH-10002293,,,131,Corporate,5/2/2023,First Class,$0K,$5,$0K,0.4,2023,-11.994,,,,5,59.97
DW-13585,DW-13585,US-2023-164147,2/2/2023,US-2023-164147,43229,OFF-PA-10002377,,,132,Corporate,5/2/2023,First Class,$0K,$2,$0K,0.2,2023,29.364,,,,2,78.304
DW-13585,DW-13585,US-2023-164147,2/2/2023,US-2023-164147,43229,OFF-FA-10002780,,,133,Corporate,5/2/2023,First Class,$0K,$9,$0K,0.2,2023,6.9732,,,,9,21.456
LC-16885,,,13/10/2022,CA-2022-145583,95661,OFF-PA-10001804,LC-16885,CA-2022-145583,134,Consumer,19/10/2022,Standard Class,,,,0,2022,9.6192,$0K,$3,$0K,3,20.04
LC-16885,,,13/10/2022,CA-2022-145583,95661,OFF-PA-10001736,LC-16885,CA-2022-145583,135,Consumer,19/10/2022,Standard Class,,,,0,2022,16.6568,$0K,$1,$0K,1,35.44
LC-16885,,,13/10/2022,CA-2022-145583,95661,OFF-AR-10001149,LC-16885,CA-2022-145583,136,Consumer,19/10/2022,Standard Class,,,,0,2022,3.456,$0K,$4,$0K,4,11.52
LC-16885,,,13/10/2022,CA-2022-145583,95661,OFF-FA-10002988,LC-16885,CA-2022-145583,137,Consumer,19/10/2022,Standard Class,,,,0,2022,1.9698,$0K,$2,$0K,2,4.02
LC-16885,,,13/10/2022,CA-2022-145583,95661,OFF-BI-10004781,LC-16885,CA-2022-145583,138,Consumer,19/10/2022,Standard Class,,,,0.2,2022,26.6616,$0K,$3,$0K,3,76.176
LC-16885,,,13/10/2022,CA-2022-145583,95661,OFF-SU-10001218,LC-16885,CA-2022-145583,139,Consumer,19/10/2022,Standard Class,,,,0,2022,18.4464,$0K,$6,$0K,6,65.88
LC-16885,,,13/10/2022,CA-2022-145583,95661,FUR-FU-10001706,LC-16885,CA-2022-145583,140,Consumer,19/10/2022,Standard Class,,,,0,2022,20.6976,$0K,$14,$0K,14,43.12
JD-15895,,,5/9/2022,CA-2022-110366,19140,FUR-FU-10004848,JD-15895,CA-2022-110366,141,Corporate,7/9/2022,Second Class,,,,0.2,2022,10.35,$0K,$2,$0K,2,82.8
SH-19975,SH-19975,CA-2023-106180,18/9/2023,CA-2023-106180,94122,OFF-AR-10000940,,,142,Corporate,23/9/2023,Standard Class,$0K,$3,$0K,0,2023,2.3814,,,,3,8.82
SH-19975,SH-19975,CA-2023-106180,18/9/2023,CA-2023-106180,94122,OFF-EN-10004030,,,143,Corporate,23/9/2023,Standard Class,$0K,$3,$0K,0,2023,5.1042,,,,3,10.86
SH-19975,SH-19975,CA-2023-106180,18/9/2023,CA-2023-106180,94122,OFF-PA-10004327,,,144,Corporate,23/9/2023,Standard Class,$0K,$3,$0K,0,2023,68.976,,,,3,143.7
SG-20080,SG-20080,CA-2023-155376,22/12/2023,CA-2023-155376,64055,OFF-AP-10001058,,,145,Consumer,27/12/2023,Standard Class,$0K,$3,$1K,0,2023,218.2518,,,,3,839.43
HA-14920,,,7/9/2021,CA-2021-110744,91104,OFF-ST-10003656,,,146,Consumer,12/9/2021,Standard Class,,,,0,2021,20.1579,,,,7,671.93
